hashtag,tweet_id
NeverHillary,7.84313832487256e+17
ElectionFinalThoughts,7.95618895533142e+17
DNCLeaks2,7.95618895533142e+17
ThingsMoreTrustedThanHillary,7.805993664070984e+17
Trump,7.962776825141944e+17
ChristmasAftermath,8.13396528236757e+17
WantedWednesday,8.219960226333e+17
JudgeRobart,8.277952011461059e+17
IWasWinningUntil,7.633484755390341e+17
GOP3,7.778394810471875e+17
TrumpTrain,7.778394810471875e+17
Politics,5.931857760006349e+17
CCOT,6.959219164613878e+17
ReasonsToGetDivorced,7.786255330933555e+17
RipChyna,7.231582166542623e+17
local,5.9537769687774e+17
debates,7.85290608390701e+17
Washingtimes,6.080744199284736e+17
STOPIslam,7.123513494054584e+17
SometimesItsOkTo,7.938198842411049e+17
SecondhandGifts,8.115972584834662e+17
JillNotHill,7.779591240133837e+17
wikileaks,7.946625709888061e+17
IRS,7.946625709888061e+17
PodestaEmails29,7.946625709888061e+17
CORRUPTDOJ,7.946625709888061e+17
maga,7.946625709888061e+17
KadzikMustGo,7.946625709888061e+17
TrumpForPresident,7.96078399496319e+17
gopconvention,7.550270843098235e+17
Politics,7.67806087688958e+17
Politics,7.653132352475218e+17
NoCyberCensorship,7.086945087419269e+17
Snopes,7.846038204247654e+17
ChristmasAftermath,8.13398677289128e+17
OverHeardAtTheWishingWell,8.535465178184663e+17
ObamaLegacyOfFailures,8.199712736315392e+17
2A,7.367283836614615e+17
Prayers4California,6.724447270825247e+17
IGetDepressedWhen,7.710078778468024e+17
HillaryNoThnx,5.880528373530092e+17
REPUBLICANS,7.84315155525972e+17
My4WordNewYearsResolution,8.115843441543127e+17
socrates,5.317062756423516e+17
RT,7.591285002468106e+17
Trump,7.979343541273231e+17
PresidentElectTrump,7.979343541273231e+17
maga,7.979343541273231e+17
ControlledMedia,7.893148681763635e+17
IHaveADreamThat,8.209990667713987e+17
Texas,5.811171953563894e+17
Verizon,5.982596453968445e+17
tblightning,8.247866696478392e+17
My911Story,6.423527427538084e+17
refugeeswelcome,7.696047586635244e+17
ItsRiskyTo,8.242841724286484e+17
pjnet,7.770545919218156e+17
LindaSarsour,8.434255176384225e+17
